Nº;ID;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
1;CxiAy7Fm;01/12/2023;05:00;AUSTRALIA & OCEANIA;PACIFIC GAMES WOMEN - PLAY OFFS - FINAL;Papua New Guinea W;Fiji W;24;26;19;19;0,9231;1,0;1,9231;1,9615;0,9398;2,9474;1,8771;4,9089
2;4xyMXJag;01/12/2023;16:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 9;Norwich U21;Blackburn U21;28;30;27;30;0,9333;0,9;1,8333;1,9667;1,1101;2,1333;1,3597;4,1
3;E3pSBY6F;01/12/2023;10:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Georgia W;Luxembourg W;26;30;28;30;0,8667;0,9333;1,8;1,8333;1,3437;2,3333;1,3744;4,1666
4;UJzkmdf4;01/12/2023;11:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Swansea U21;Colchester U21;29;30;25;30;0,9667;0,8333;1,8;2,4667;1,384;1,8;1,2754;4,2667
5;bTu8krjD;01/12/2023;09:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Montenegro W;Faroe Islands W;27;30;26;30;0,9;0,8667;1,7667;1,6;1,0832;2,2667;1,7689;3,8667
6;l0NqCIl8;01/12/2023;16:00;GERMANY;OBERLIGA HESSEN - ROUND 20;Hunfelder;Friedberg;27;30;26;30;0,9;0,8667;1,7667;1,8667;1,2841;1,8333;1,2931;3,7
7;xKUHSBLJ;01/12/2023;15:30;GERMANY;OBERLIGA WESTFALEN - ROUND 16;Erkenschwick;Eintracht Rheine;28;30;25;30;0,9333;0,8333;1,7666;2,0;1,0;1,8;1,3266;3,8
8;tQvfeCs3;01/12/2023;15:00;GERMANY;OBERLIGA BAYERN NORD - ROUND 24;Feucht;Coburg;27;30;18;21;0,9;0,8571;1,7571;1,6667;1,075;1,9524;1,3265;3,6191
9;2BNi3gv1;01/12/2023;06:00;BHUTAN;PREMIER LEAGUE;Namlha;RTC;14;16;14;16;0,875;0,875;1,75;2,4375;1,2732;1,5;0,9354;3,9375
10;xQuALIZp;01/12/2023;15:30;GERMANY;OBERLIGA BREMEN - ROUND 17;Vatan Bremen;Oberneuland;27;30;25;30;0,9;0,8333;1,7333;1,7333;0,9978;1,9333;1,4817;3,6666
11;CKBJSdHk;01/12/2023;14:30;AUSTRIA;WIEN - ROUND 13;Schwechat;Sportunion Mauer;28;30;16;20;0,9333;0,8;1,7333;2,0;1,0954;1,85;1,74;3,85
12;E5BLH0Z5;01/12/2023;11:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Kazakhstan W;Estonia W;24;30;28;30;0,8;0,9333;1,7333;1,8333;1,5293;1,7667;1,2297;3,6
13;AHxFN6qd;01/12/2023;15:00;GERMANY;OBERLIGA BADEN-WÜRTTEMBERG - ROUND 20;Nottingen;Offenburger;25;30;26;30;0,8333;0,8667;1,7;1,5667;1,0546;1,5333;0,9911;3,1
14;f7XMeGXB;01/12/2023;16:30;WALES;CYMRU NORTH - ROUND 15;Ruthin;Llandudno;23;30;28;30;0,7667;0,9333;1,7;1,4667;1,335;1,5667;0,8825;3,0334
15;QRu6abYn;01/12/2023;16:30;WALES;CYMRU NORTH - ROUND 15;Guilsfield;Holywell;23;30;28;30;0,7667;0,9333;1,7;1,4333;1,4985;1,8333;1,1856;3,2666
16;4ACLbRBT;01/12/2023;11:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Moldova W;Malta W;26;30;25;30;0,8667;0,8333;1,7;2,3667;1,9058;1,6333;1,0483;4,0
17;lbSOTTSm;01/12/2023;21:00;ARUBA;DIVISION DI HONOR - ROUND 8;Britannia;Bubali;24;30;26;30;0,8;0,8667;1,6667;1,5667;1,1455;1,9333;1,4591;3,5
18;MooVl50e;01/12/2023;14:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE B - ROUND 5;Ukraine W;Poland W;26;30;24;30;0,8667;0,8;1,6667;1,6667;1,1926;1,8;1,4468;3,4667
19;j9BPTYa1;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 2 - ROUND 15;CSM Ramnicu Sarat;Vointa Limpezis;23;30;27;30;0,7667;0,9;1,6667;1,4333;1,2023;2,0;1,2383;3,4333
20;IBmo3coi;01/12/2023;14:10;AUSTRIA;2. LIGA - ROUND 16;St. Polten;Sturm Graz (Am);26;30;24;30;0,8667;0,8;1,6667;1,4333;0,9551;2,0;1,7321;3,4333
21;86eJGzfr;01/12/2023;09:45;UNITED ARAB EMIRATES;UAE LEAGUE - ROUND 9;Ajman;Hatta;26;30;24;30;0,8667;0,8;1,6667;2,0333;1,3536;1,5333;1,147;3,5666
22;0pYIddI5;01/12/2023;16:30;WALES;CYMRU NORTH - ROUND 15;Denbigh;Prestatyn;24;30;26;30;0,8;0,8667;1,6667;1,9667;1,378;1,8;1,6207;3,7667
23;WjsBNmXF;01/12/2023;14:30;WORLD;CLUB FRIENDLY;Bohemians 1905 B (Cze);Benesov (Cze);24;30;26;30;0,8;0,8667;1,6667;1,8667;1,4314;1,6333;1,2243;3,5
24;z36J3Glj;01/12/2023;15:30;GERMANY;OBERLIGA HAMBURG - ROUND 20;Suderelbe;Halstenbek-Rellingen;27;30;23;30;0,9;0,7667;1,6667;1,6;1,0832;1,4;1,052;3,0
25;QJDHa7dN;01/12/2023;08:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Latvia W;Andorra W;25;30;15;18;0,8333;0,8333;1,6666;2,2;1,8868;2,5;1,7078;4,7
26;AJZ0EMK9;01/12/2023;05:30;GEORGIA;CRYSTALBET EROVNULI LIGA 2 - ROUND 36;Loco. Tbilisi;Merani Tbilisi;25;30;25;30;0,8333;0,8333;1,6666;1,5;1,0567;1,6;1,1719;3,1
27;EulMbrf5;01/12/2023;14:10;AUSTRIA;2. LIGA - ROUND 16;Horn;Leoben;25;30;25;30;0,8333;0,8333;1,6666;1,5333;0,9214;1,6667;1,2202;3,2
28;YgOZtwOO;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 7 - ROUND 15;Gilortul Tg. Carbunesti;Lupac;25;30;25;30;0,8333;0,8333;1,6666;1,7667;1,2023;1,5667;0,9894;3,3334
29;M3pirQS0;01/12/2023;14:00;POLAND;EKSTRAKLASA - ROUND 17;Warta Poznan;Jagiellonia;25;30;25;30;0,8333;0,8333;1,6666;1,4667;0,9568;1,4667;1,0562;2,9334
30;OdjttoJR;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;Spartak Moscow U19;FK Rostov U19;25;30;25;30;0,8333;0,8333;1,6666;1,6;1,2806;1,6667;1,2996;3,2667
31;bVW05COA;01/12/2023;20:00;NORTH & CENTRAL AMERICA;GOLD CUP WOMEN - QUALIFICATION - LEAGUE B;Barbados W;Dominican Republic W;15;16;21;29;0,9375;0,7241;1,6616;2,75;1,479;1,8621;1,8142;4,6121
32;CUIEZuVt;01/12/2023;16:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 8;Aston Villa U21;Stoke City U21;27;30;22;30;0,9;0,7333;1,6333;2,2;1,579;1,7333;1,5902;3,9333
33;UmSLBS78;01/12/2023;12:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE B - ROUND 5;Greece W;Serbia W;22;30;27;30;0,7333;0,9;1,6333;1,8333;1,7143;1,7333;1,2365;3,5666
34;AFyIYapm;01/12/2023;16:00;ENGLAND;PREMIER LEAGUE 2 - ROUND 9;Fulham U21;Brighton U21;27;30;22;30;0,9;0,7333;1,6333;1,9667;1,1968;1,7;1,464;3,6667
35;Ywtaedb8;01/12/2023;16:30;BELGIUM;SECOND AMATEUR DIVISION GROUP VFV B - ROUND 15;Wezel Sport;Belisia Bilzen;21;23;21;30;0,913;0,7;1,613;1,8696;1,2267;1,1667;0,9339;3,0363
36;r1N6d638;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;Zenit U19;Baltika U19;25;30;14;18;0,8333;0,7778;1,6111;1,7333;1,2893;1,2778;0,9891;3,0111
37;byWMquv6;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 7 - ROUND 15;Ghiroda & Giarmata Vii;Viitorul Simian;25;30;23;30;0,8333;0,7667;1,6;1,7;1,1;1,3;1,1;3,0
38;vmqrZ14t;01/12/2023;09:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Kosovo W;Bulgaria W;23;30;25;30;0,7667;0,8333;1,6;1,8333;1,4625;1,7333;1,2365;3,5666
39;EFzR2pL1;01/12/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Coventry U21;Peterborough U21;25;30;23;30;0,8333;0,7667;1,6;1,9;1,3503;1,4;1,1719;3,3
40;YsAPeSeC;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 17;Dordrecht;Roda;27;30;21;30;0,9;0,7;1,6;1,7667;1,2297;1,4667;1,4314;3,2334
41;GOnbpikI;01/12/2023;16:00;GERMANY;OBERLIGA NIEDERRHEIN - ROUND 16;Baumberg;Union Nettetal;22;30;26;30;0,7333;0,8667;1,6;1,4667;1,2037;2,1;1,4224;3,5667
42;YT4p2xAN;01/12/2023;14:30;GERMANY;2. BUNDESLIGA - ROUND 15;St. Pauli;Hamburger SV;22;30;26;30;0,7333;0,8667;1,6;1,4;1,3565;1,7;1,1;3,1
43;vctNLNnR;01/12/2023;15:00;GERMANY;REGIONALLIGA SUDWEST - ROUND 20;FSV Frankfurt;Balingen;25;30;23;30;0,8333;0,7667;1,6;1,5;1,0567;1,7;1,2689;3,2
44;U3UN6Ub0;01/12/2023;15:30;GERMANY;OBERLIGA WESTFALEN - ROUND 16;Lotte;Schermbeck 2020;24;30;24;30;0,8;0,8;1,6;1,8333;1,2931;1,4;1,0198;3,2333
45;OAZBrj5I;01/12/2023;21:00;CURAÇAO;PROMÉ DIVISHON - ROUND 9;Jong Holland;Centro Dominguito;26;30;22;30;0,8667;0,7333;1,6;1,6333;1,1397;1,3333;1,1926;2,9666
46;WjkNE5ep;01/12/2023;17:00;FRANCE;LIGUE 1 - ROUND 14;Reims;Strasbourg;25;30;23;30;0,8333;0,7667;1,6;1,4333;0,9551;1,4667;1,2579;2,9
47;OClzIQEj;01/12/2023;08:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 30;Brest 2;Belshina 2;27;30;21;30;0,9;0,7;1,6;1,5333;0,8844;1,2667;1,2365;2,8
48;fa9HQXw3;01/12/2023;10:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Finland U17 W;Italy U17 W;23;30;25;30;0,7667;0,8333;1,6;1,4;1,0832;2,0333;1,6829;3,4333
49;r53MReU2;01/12/2023;07:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Bangladesh W;Singapore W;20;25;23;30;0,8;0,7667;1,5667;2,08;1,3833;1,9667;1,7026;4,0467
50;rDiGIk3P;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 17;Helmond;Den Haag;21;30;26;30;0,7;0,8667;1,5667;1,1667;1,0028;1,6667;1,1353;2,8334
51;CxmtZusD;01/12/2023;09:00;WORLD;WORLD CUP U17 - PLAY OFFS - 3RD PLACE;Argentina U17;Mali U17;26;30;21;30;0,8667;0,7;1,5667;1,7667;1,1455;1,3;1,1874;3,0667
52;Q3XTyEpQ;01/12/2023;08:00;POLAND;CENTRAL YOUTH LEAGUE - ROUND 17;Pogon Szczecin U19;Legia U19;24;30;23;30;0,8;0,7667;1,5667;1,9667;1,6428;1,9333;1,5261;3,9
53;KjKVsJ8I;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 7 - ROUND 15;CSO Filiasi;Jiul Petrosani;26;30;21;30;0,8667;0,7;1,5667;1,7;1,1;1,2333;1,0225;2,9333
54;MVnJqfdd;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 8 - ROUND 15;Avantul Periam;FC Bihor;26;30;21;30;0,8667;0,7;1,5667;1,6;1,0832;1,4;1,3064;3,0
55;jXo6yvWK;01/12/2023;15:30;GERMANY;OBERLIGA NOFV-NORD - ROUND 15;Staaken;Furstenwalde;20;30;27;30;0,6667;0,9;1,5667;1,4;1,2;1,7667;1,2297;3,1667
56;nBLiz2c9;01/12/2023;15:00;GERMANY;OBERLIGA NIEDERSACHSEN - ROUND 18;Emden;Ramlingen-Ehlershausen;26;30;21;30;0,8667;0,7;1,5667;1,9;1,3503;1,3667;1,2512;3,2667
57;SICYC8xO;01/12/2023;06:30;WORLD;CLUB FRIENDLY;Dukla Prague (Cze);Vlasim (Cze);21;30;26;30;0,7;0,8667;1,5667;1,5;1,3601;1,5;0,9574;3,0
58;SnOZTHbp;01/12/2023;15:00;FRANCE;NATIONAL 2 - GROUP B - ROUND 11;Les Herbiers;Bergerac;24;30;23;30;0,8;0,7667;1,5667;1,5;1,0878;1,4667;1,1175;2,9667
59;tKVYM7mG;01/12/2023;15:30;FRANCE;NATIONAL - ROUND 15;Avranches;Villefranche;21;30;26;30;0,7;0,8667;1,5667;1,1333;0,9568;1,4;0,9522;2,5333
60;E7hwOl90;01/12/2023;16:45;BELGIUM;JUPILER PRO LEAGUE - ROUND 16;Westerlo;Anderlecht;22;30;25;30;0,7333;0,8333;1,5666;1,4333;1,2565;1,4;0,9866;2,8333
61;2T4vyAD2;01/12/2023;21:00;NORTH & CENTRAL AMERICA;GOLD CUP WOMEN - QUALIFICATION - LEAGUE A;Puerto Rico W;Mexico W;18;23;23;30;0,7826;0,7667;1,5493;1,7826;1,2839;1,9667;1,6829;3,7493
62;Qig3649I;01/12/2023;05:00;INDONESIA;LIGA 2 - ROUND 12;Persipa Pati;Gresik;14;16;20;30;0,875;0,6667;1,5417;1,1875;0,7262;0,9333;0,8138;2,1208
63;d2nk2H0c;01/12/2023;14:10;AUSTRIA;2. LIGA - ROUND 16;Kapfenberg;Lafnitz;20;30;26;30;0,6667;0,8667;1,5334;1,0;0,8563;1,7667;1,2565;2,7667
64;jBfTt7FD;01/12/2023;21:30;BOLIVIA;DIVISION PROFESIONAL - ROUND 33;Wilstermann;The Strongest;20;30;26;30;0,6667;0,8667;1,5334;0,9;0,7895;1,4333;1,116;2,3333
65;6qS6mksf;01/12/2023;13:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Sweden U19 W;England U19 W;26;30;20;30;0,8667;0,6667;1,5334;1,5333;0,9568;1,2333;1,3085;2,7666
66;MPPjYQz3;01/12/2023;16:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 16;Sion;Stade Nyonnais;26;30;20;30;0,8667;0,6667;1,5334;1,6333;1,1968;1,3;1,2949;2,9333
67;bsRZ0ZgL;01/12/2023;15:00;GERMANY;OBERLIGA MITTELRHEIN - ROUND 16;Hennef;Bonner;26;30;20;30;0,8667;0,6667;1,5334;1,9;1,3988;1,0333;1,0483;2,9333
68;KvY2Q2cT;01/12/2023;07:30;WORLD;CLUB FRIENDLY;Chrudim (Cze);Brno (Cze);25;30;21;30;0,8333;0,7;1,5333;1,5333;1,2037;1,2333;1,116;2,7666
69;W6FajWJa;01/12/2023;16:30;WALES;CYMRU SOUTH - ROUND 15;Taffs Well;Afan Lido;21;30;25;30;0,7;0,8333;1,5333;1,2333;1,2023;1,4667;1,147;2,7
70;bTodkjZ5;01/12/2023;16:30;WALES;CYMRU SOUTH - ROUND 15;Llanelli;Cambrian & Clydach;21;30;25;30;0,7;0,8333;1,5333;1,7667;1,4985;1,5667;1,116;3,3334
71;EernDTQn;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 17;Willem II;FC Emmen;24;30;22;30;0,8;0,7333;1,5333;1,5;1,118;1,5;1,2315;3,0
72;Mu4jDuqD;01/12/2023;16:45;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE A - ROUND 5;England W;Netherlands W;24;30;22;30;0,8;0,7333;1,5333;1,5;1,4549;1,5667;1,4533;3,0667
73;vqwPujYC;01/12/2023;06:30;MYANMAR;NATIONAL LEAGUE - ROUND 21;Ayeyawady;Hantharwady Utd;25;30;21;30;0,8333;0,7;1,5333;1,7667;1,4067;1,1;1,0116;2,8667
74;6qCttAgr;01/12/2023;10:00;TANZANIA;LIGI KUU BARA - ROUND 12;Singida Fountain Gate;JKT Tanzania;22;30;24;30;0,7333;0,8;1,5333;1,2333;0,9551;1,2333;0,9551;2,4666
75;bHe830Sp;01/12/2023;05:30;TAJIKISTAN;VYSSHAYA LIGA - CHAMPIONSHIP GROUP - ROUND 3;Kuktosh;Istiqlol Dushanbe;24;30;22;30;0,8;0,7333;1,5333;1,4;1,1136;1,0333;0,836;2,4333
76;ra4D6ZQ1;01/12/2023;08:00;THAILAND;THAI LEAGUE 2 - ROUND 14;Chiangmai FC;Chiangmai Utd;22;30;24;30;0,7333;0,8;1,5333;1,5;1,2845;1,2667;0,9638;2,7667
77;W8z8RSGd;01/12/2023;15:30;BELGIUM;PRO LEAGUE U21 - ROUND 11;Oostende U21;Eupen U21;24;30;22;30;0,8;0,7333;1,5333;1,7667;1,5206;1,5333;1,2841;3,3
78;foUOXMQ7;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;Konoplev Academy U19;Chertanovo M. U19;25;30;21;30;0,8333;0,7;1,5333;1,8333;1,3683;1,4333;1,1455;3,2666
79;6RhJEuJ0;01/12/2023;09:00;BOSNIA AND HERZEGOVINA;PRVA LIGA - RS - ROUND 16;BSK Banja Luka;Kozarska Dubica;12;16;23;30;0,75;0,7667;1,5167;1,3125;1,044;1,2667;0,9286;2,5792
80;WnNOdtPS;01/12/2023;17:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Paraguay U17 W;Russia U17 W;20;28;24;30;0,7143;0,8;1,5143;1,75;1,6394;1,6333;1,4716;3,3833
81;48RMuU6c;01/12/2023;06:00;BELARUS;VYSSHAYA LIGA RESERVE - ROUND 30;Neman 2;Naftan 2;22;30;21;27;0,7333;0,7778;1,5111;1,3667;1,1968;1,6667;1,5396;3,0334
82;rVOLJFrn;01/12/2023;05:45;AUSTRALIA;A-LEAGUE - ROUND 6;Brisbane Roar;WS Wanderers;21;30;24;30;0,7;0,8;1,5;1,2333;1,0546;1,5;1,1762;2,7333
83;ITjuO1Ge;01/12/2023;16:00;SPAIN;TERCERA RFEF - GROUP 9 - ROUND 13;Huetor Tajar;El Ejido;24;30;21;30;0,8;0,7;1,5;1,5333;1,2037;1,2667;1,3149;2,8
84;t4wyovWG;01/12/2023;01:00;AUSTRALIA & OCEANIA;PACIFIC GAMES - PLAY OFFS - 3RD PLACE;Vanuatu;Fiji;23;30;22;30;0,7667;0,7333;1,5;1,5667;1,6265;1,3667;1,4716;2,9334
85;hGGeiC4g;01/12/2023;16:30;WALES;CYMRU SOUTH - ROUND 15;Carmarthen Town;Abergavenny Town;23;30;22;30;0,7667;0,7333;1,5;1,6333;1,2512;1,2333;0,9894;2,8666
86;ULZASDlj;01/12/2023;07:00;ARMENIA;FIRST LEAGUE - ROUND 16;BKMA 2;Pyunik Yerevan 2;23;30;22;30;0,7667;0,7333;1,5;1,5333;1,3098;1,5;1,3102;3,0333
87;M3UC9CeH;01/12/2023;16:00;FRANCE;NATIONAL 2 - GROUP A - ROUND 11;Bourgoin Jallieu;Thonon-Evian;12;15;21;30;0,8;0,7;1,5;1,4;1,1431;1,1;0,9781;2,5
88;CWVvzxlr;01/12/2023;13:30;SLOVAKIA;NIKE LIGA - ROUND 16;Kosice;Michalovce;24;30;21;30;0,8;0,7;1,5;1,4333;0,9551;1,4667;1,335;2,9
89;vohFEzNd;01/12/2023;12:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Lithuania W;Turkey W;22;30;23;30;0,7333;0,7667;1,5;1,7667;1,7829;1,3667;1,0483;3,1334
90;8hzfdVIG;01/12/2023;16:00;FRANCE;NATIONAL 2 - GROUP C - ROUND 11;Chambly;Bastia-Borgo;22;30;23;30;0,7333;0,7667;1,5;1,1667;0,969;1,1;0,8307;2,2667
91;UyA9G1Un;01/12/2023;16:00;BELGIUM;CHALLENGER PRO LEAGUE - ROUND 14;Lommel SK;Genk U23;21;30;24;30;0,7;0,8;1,5;1,2333;1,3337;1,5333;1,1757;2,7666
92;2qeap9pj;01/12/2023;11:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Switzerland U19 W;Denmark U19 W;24;30;21;30;0,8;0,7;1,5;1,9667;1,9405;1,5667;1,4067;3,5334
93;vVBy4buB;01/12/2023;14:30;GERMANY;2. BUNDESLIGA - ROUND 15;Schalke;VfL Osnabruck;27;30;18;30;0,9;0,6;1,5;1,7667;1,116;1,1333;1,1175;2,9
94;04bYIp3B;01/12/2023;15:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 24;Pfeddersheim;Dudenhofen;21;30;24;30;0,7;0,8;1,5;1,7333;1,5261;1,3333;1,075;3,0666
95;29KcWxKL;01/12/2023;16:30;BELGIUM;PRO LEAGUE U21 - ROUND 11;Kortrijk U21;Lierse K. U21;19;30;26;30;0,6333;0,8667;1,5;1,0333;1,016;2,0;1,4376;3,0333
96;zs1lzLKd;01/12/2023;16:00;BELGIUM;PRO LEAGUE U21 - ROUND 11;Dender U21;RWDM U21;21;30;24;30;0,7;0,8;1,5;1,6333;1,6017;1,6333;1,378;3,2666
