Nº;ID;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
195;rLPjbEAd;01/12/2023;07:00;UZBEKISTAN;SUPER LEAGUE - ROUND 26;Metallurg Bekabad;Olympic;21;30;20;30;0,7;0,6667;1,3667;1,0;0,8563;1,2333;1,4761;2,2333
196;hQetOGjG;01/12/2023;10:30;ALGERIA;LIGUE 2 - ROUND 7;Oued Sly;GC Mascara;20;30;21;30;0,6667;0,7;1,3667;1,3333;1,2472;1,0333;0,875;2,3666
197;S452vr1j;01/12/2023;10:00;OMAN;SULTAN CUP - QUARTER-FINALS;Al Nasr;Fanja SC;20;30;21;30;0,6667;0,7;1,3667;0,9667;0,9481;1,1667;0,9339;2,1334
198;8bNbC5cQ;01/12/2023;14:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE C - ROUND 5;Cyprus W;Azerbaijan W;25;30;16;30;0,8333;0,5333;1,3666;2,0667;1,5478;0,9333;1,34;3,0
199;UoorV1eS;01/12/2023;12:00;SAUDI ARABIA;SAUDI PROFESSIONAL LEAGUE - ROUND 15;Al Feiha;Damac;19;30;22;30;0,6333;0,7333;1,3666;1,1667;1,1279;1,2667;1,0306;2,4334
200;Cj0iXRf0;01/12/2023;09:00;ETHIOPIA;PREMIER LEAGUE - ROUND 6;Ethiopian Insurance;Defence Force;22;30;19;30;0,7333;0,6333;1,3666;1,1;0,8307;1,0333;1,016;2,1333
201;SCNM2z2o;01/12/2023;13:30;QATAR;QSL - ROUND 10;Al-Duhail;Umm-Salal;22;30;19;30;0,7333;0,6333;1,3666;1,4333;1,1455;1,1;0,9781;2,5333
202;j1NFxpEl;01/12/2023;11:30;AFRICA;AFRICA CUP OF NATIONS WOMEN - QUALIFICATION - FINAL;Ghana W;Namibia W;19;30;22;30;0,6333;0,7333;1,3666;1,4;1,8184;1,3;1,1;2,7
203;OG6T1vBt;01/12/2023;14:30;PORTUGAL;LIGA 3 - ROUND 12;Alverca;Caldas;19;30;22;30;0,6333;0,7333;1,3666;0,9667;1,0483;1,3667;1,016;2,3334
204;YozH4GXS;01/12/2023;09:15;UZBEKISTAN;SUPER LEAGUE - ROUND 26;OKMK;Nasaf Qarshi;22;30;19;30;0,7333;0,6333;1,3666;1,3667;1,0796;0,8;0,7483;2,1667
205;8fsQC1d4;01/12/2023;15:00;DENMARK;1ST DIVISION - ROUND 18;Horsens;Hobro;23;30;17;30;0,7667;0,5667;1,3334;1,2333;0,8439;0,8667;0,8844;2,1
206;fZLz2mge;01/12/2023;15:30;IRAQ;SUPER LEAGUE - ROUND 6;Al Talaba;Erbil;23;30;17;30;0,7667;0,5667;1,3334;1,0;0,6831;1,0333;1,1686;2,0333
207;8OMtONkQ;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 6 - ROUND 15;Cetatea;Horezu;17;30;23;30;0,5667;0,7667;1,3334;1,2;1,5144;1,5;1,3102;2,7
208;hW8iTGOt;01/12/2023;18:00;SPAIN;TERCERA RFEF - GROUP 12 - ROUND 13;CD Buzanada;Tenerife B;20;30;20;30;0,6667;0,6667;1,3334;0,9667;0,9123;0,9667;0,875;1,9334
209;WM7eSzvm;01/12/2023;18:00;SPAIN;TERCERA RFEF - GROUP 12 - ROUND 13;Arucas;Las Palmas B;20;30;20;30;0,6667;0,6667;1,3334;1,1667;1,0672;1,0333;1,016;2,2
210;pQs47ImA;01/12/2023;09:15;UZBEKISTAN;SUPER LEAGUE - ROUND 26;Pakhtakor;Bunyodkor;20;30;20;30;0,6667;0,6667;1,3334;1,1333;1,0242;1,1;1,106;2,2333
211;fB7HUU9T;01/12/2023;13:00;CROATIA;HNL - ROUND 17;Istra 1961;Varazdin;22;30;18;30;0,7333;0,6;1,3333;1,1333;0,9214;1,1667;1,3924;2,3
212;8tObW45F;01/12/2023;16:15;SWITZERLAND;CHALLENGE LEAGUE - ROUND 16;Wil;Schaffhausen;19;30;21;30;0,6333;0,7;1,3333;0,9;1,0116;1,4333;1,2297;2,3333
213;U99Qf5Er;01/12/2023;11:15;ALGERIA;LIGUE 1 - ROUND 8;El Bayadh;Paradou;19;30;21;30;0,6333;0,7;1,3333;0,9667;0,875;0,9333;0,7717;1,9
214;fq1KrTp1;01/12/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 33;Universitario de Vinto;Guabira;16;30;24;30;0,5333;0,8;1,3333;0,8;0,9092;1,4333;1,2297;2,2333
215;8SrFpzsj;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 8 - ROUND 15;Ineu;Politehnica Timisoara;21;30;19;30;0,7;0,6333;1,3333;1,2667;1,1813;1,2;1,2754;2,4667
216;GrNW2Twk;01/12/2023;08:30;IRAQ;SUPER LEAGUE - ROUND 6;Al-Hudod;Baghdad;21;30;19;30;0,7;0,6333;1,3333;0,9667;0,7951;1,0;0,9309;1,9667
217;U9VYAuRG;01/12/2023;15:00;DENMARK;1ST DIVISION - ROUND 18;Kolding IF;B.93;22;30;18;30;0,7333;0,6;1,3333;1,4667;1,5434;1,6;2,01;3,0667
218;6yAieFyg;01/12/2023;10:00;ISRAEL;LEUMIT LEAGUE - ROUND 10;Nof Hagalil;Nes Tziona;21;30;19;30;0,7;0,6333;1,3333;1,1333;1,0242;1,0333;1,016;2,1666
219;GdhpO8gB;01/12/2023;13:00;GAMBIA;GFA LEAGUE - ROUND 4;Greater Tomorrow;Banjul Utd;22;30;18;30;0,7333;0,6;1,3333;1,2333;0,9551;0,9;0,9074;2,1333
220;Y7RvuYAM;01/12/2023;17:00;ENGLAND;CHAMPIONSHIP - ROUND 19;Preston;QPR;19;30;21;30;0,6333;0,7;1,3333;1,1333;1,1175;1,2333;1,0858;2,3666
221;E1Dagg65;01/12/2023;10:00;ISRAEL;LEUMIT LEAGUE - ROUND 10;Ihud Bnei Shfaram;Hapoel Umm al-Fahm;21;30;19;30;0,7;0,6333;1,3333;1,1;1,044;0,9;0,9434;2,0
222;vsSL0KK6;01/12/2023;05:30;INDONESIA;LIGA 2 - ROUND 12;PSMS Medan;Semen Padang;18;30;22;30;0,6;0,7333;1,3333;1,0667;1,0934;1,1;0,9074;2,1667
223;fFi0f6wR;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 10 - ROUND 15;CSM Zalau;Sanatatea Cluj;16;30;23;30;0,5333;0,7667;1,3;0,9667;1,1397;1,4333;1,1743;2,4
224;fmqa26EH;01/12/2023;09:00;THAILAND;THAI LEAGUE 1 - ROUND 12;Ratchaburi;Chiangrai Utd;16;30;23;30;0,5333;0,7667;1,3;1,0;1,0954;1,3333;1,0111;2,3333
225;GruF1JN2;01/12/2023;13:00;MALI;PREMIERE DIVISION - ROUND 6;Black Stars;Real Bamako;19;30;20;30;0,6333;0,6667;1,3;0,9333;0,8919;1,0;0,8944;1,9333
226;th9zxJNe;01/12/2023;12:00;UKRAINE;PREMIER LEAGUE - ROUND 16;Zhytomyr;Veres-Rivne;19;30;20;30;0,6333;0,6667;1,3;0,9667;1,016;1,2333;1,0858;2,2
227;IP4I1jXf;01/12/2023;09:00;UKRAINE;YOUTH LEAGUE - ROUND 16;Dnipro-1 U19;Vorskla Poltava U19;16;30;23;30;0,5333;0,7667;1,3;0,9;1,0116;1,3333;1,0435;2,2333
228;db2XPxM3;01/12/2023;10:30;ALGERIA;LIGUE 2 - ROUND 7;Hussein Dey;ASM Oran;20;30;19;30;0,6667;0,6333;1,3;1,1;0,9434;1,0333;1,1968;2,1333
229;Moe0Zxfi;01/12/2023;14:30;SERBIA;SUPER LIGA - ROUND 17;Sp. Subotica;Radnik;21;30;18;30;0,7;0,6;1,3;1,0667;0,8919;0,9;0,9074;1,9667
230;IJVMfq3j;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 5 - ROUND 15;Odorheiu;Kids Tampa Brasov;19;30;20;30;0,6333;0,6667;1,3;1,1;1,1358;1,3333;1,2996;2,4333
231;Wf3pQHY1;01/12/2023;09:30;ROMANIA;LIGA 2 - ROUND 15;Gloria Buzau;Csikszereda M. Ciuc;18;30;21;30;0,6;0,7;1,3;0,9667;1,1101;1,2333;1,0858;2,2
232;Yi1mek0q;01/12/2023;08:00;SYRIA;PREMIER LEAGUE - ROUND 7;Al Jaish;Jableh;18;30;21;30;0,6;0,7;1,3;0,9;0,9434;0,9667;0,9826;1,8667
233;tpJj3EhK;01/12/2023;09:00;CROATIA;PRVA NL - ROUND 17;Dubrava;Bijelo Brdo;23;30;16;30;0,7667;0,5333;1,3;1,2333;0,9551;0,6333;0,6574;1,8666
234;EXHeCNVs;01/12/2023;16:45;ITALY;SERIE A - ROUND 14;Monza;Juventus;23;30;16;30;0,7667;0,5333;1,3;1,3667;1,1101;1,0;1,1255;2,3667
235;0zXFLXVE;01/12/2023;15:00;DENMARK;SUPERLIGA - ROUND 17;Randers FC;Vejle;24;30;15;30;0,8;0,5;1,3;1,5333;1,1175;0,9333;1,0934;2,4666
236;KSyCzPtk;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;Krylya Sovetov Samara U19;Akhmat Grozny U19;22;30;17;30;0,7333;0,5667;1,3;1,3;1,159;1,1;1,3;2,4
237;E5qBoGRq;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 8 - ROUND 15;Teuz Cermei;Soimii Lipova;20;30;19;30;0,6667;0,6333;1,3;1,4;1,2806;1,0;1,0328;2,4
238;SAOKaViS;01/12/2023;08:00;SYRIA;PREMIER LEAGUE - ROUND 7;Horriya;Foutoua;21;30;18;30;0,7;0,6;1,3;1,0333;0,9123;0,9;0,9074;1,9333
239;fDjNRlwG;01/12/2023;15:00;WORLD;FRIENDLY INTERNATIONAL WOMEN;Morocco W;Uganda W;18;30;19;28;0,6;0,6786;1,2786;1,0667;1,1235;1,3214;1,4652;2,3881
240;xIZOFhbd;01/12/2023;10:30;ALGERIA;LIGUE 2 - ROUND 7;MSP Batna;CA Batna;18;28;19;30;0,6429;0,6333;1,2762;0,9643;0,9056;0,9;0,8307;1,8643
241;zc1MLnJh;01/12/2023;15:30;GERMANY;OBERLIGA RHEINLAND-PFALZ/SAAR - ROUND 24;Waldalgesheim;SpVgg Quierschied;17;30;19;27;0,5667;0,7037;1,2704;1,1667;1,3187;1,2593;1,0034;2,426
242;xhO3zkeM;01/12/2023;17:00;ARGENTINA;COPA DE LA LIGA PROFESIONAL - RELEGATION - PLAY OFFS - FINAL;Colon Santa Fe;Gimnasia L.P.;21;30;17;30;0,7;0,5667;1,2667;1,0333;0,875;0,8667;0,9568;1,9
243;d6W7rPb4;01/12/2023;20:00;CHILE;PRIMERA DIVISION - ROUND 29;Coquimbo;Union La Calera;18;30;20;30;0,6;0,6667;1,2667;1,0667;1,0934;1,3;1,2423;2,3667
244;6kHZuki0;01/12/2023;11:00;EGYPT;PREMIER LEAGUE - ROUND 7;Enppi;Al Masry;20;30;18;30;0,6667;0,6;1,2667;1,0333;0,9123;0,9333;1,0306;1,9666
245;KhLwu966;01/12/2023;14:00;EGYPT;PREMIER LEAGUE - ROUND 7;National Bank Egypt;Ceramica Cleopatra;21;30;17;30;0,7;0,5667;1,2667;1,1;0,8699;1,0667;1,2092;2,1667
246;0bJYPqLD;01/12/2023;09:00;ROMANIA;LIGA 3 - SERIA 6 - ROUND 15;Unirea Bascov;Petrolul Potcoava;21;30;17;30;0,7;0,5667;1,2667;1,2333;1,1743;0,9667;1,016;2,2
247;2qPCPF03;01/12/2023;12:00;ROMANIA;LIGA 1 - ROUND 18;FC Voluntari;Petrolul;21;30;17;30;0,7;0,5667;1,2667;1,4;1,1431;1,0333;1,1968;2,4333
248;O6aC131b;01/12/2023;16:30;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE A - ROUND 5;Belgium W;Scotland W;18;30;20;30;0,6;0,6667;1,2667;1,5;1,4776;1,5;1,3601;3,0
249;GrebZUt3;01/12/2023;10:00;KUWAIT;CROWN PRINCE CUP - 1/8-FINALS;Al-Fahaheel;Al Qadisiya;18;30;20;30;0,6;0,6667;1,2667;1,1333;1,2311;1,2333;1,1455;2,3666
250;AXzyqmZ8;01/12/2023;08:00;RUSSIA;YOUTH LEAGUE - ROUND 19;CSKA Moscow U19;Fakel Voronezh U19;24;30;14;30;0,8;0,4667;1,2667;1,2667;0,8919;0,7;0,9;1,9667
251;KAUxMR2M;01/12/2023;15:30;FRANCE;NATIONAL - ROUND 15;Orleans;Versailles;20;30;18;30;0,6667;0,6;1,2667;1,3667;1,2243;1,1667;1,2931;2,5334
252;E7vIQkli;01/12/2023;15:30;FRANCE;NATIONAL - ROUND 15;GOAL FC;Dijon;18;30;20;30;0,6;0,6667;1,2667;1,0667;1,0306;0,9667;0,875;2,0334
253;S0Nbao6R;01/12/2023;14:00;ALGERIA;LIGUE 1 - ROUND 8;Constantine;Khenchela;19;30;19;30;0,6333;0,6333;1,2666;1,1333;1,0873;0,9667;0,9826;2,1
254;OtWAevx2;01/12/2023;15:30;SPAIN;TERCERA RFEF - GROUP 15 - ROUND 13;Pamplona;CD Ardoi;17;29;20;30;0,5862;0,6667;1,2529;1,1034;1,4226;1,1333;0,9911;2,2367
255;W23FpNNn;01/12/2023;19:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 22;Sp. Luqueno;Nacional Asuncion;17;30;20;30;0,5667;0,6667;1,2334;0,8333;0,8596;0,9333;0,8138;1,7666
256;x2os3VwE;01/12/2023;19:30;PARAGUAY;PRIMERA DIVISION - CLAUSURA - ROUND 22;General Caballero JLM;Olimpia Asuncion;17;30;20;30;0,5667;0,6667;1,2334;0,7333;0,7717;1,2667;1,1813;2,0
257;Qioz26Bj;01/12/2023;15:30;FRANCE;NATIONAL - ROUND 15;Rouen;Cholet;17;30;20;30;0,5667;0,6667;1,2334;0,7333;0,7717;0,9;0,7895;1,6333
258;0zDBBRld;01/12/2023;13:15;KUWAIT;CROWN PRINCE CUP - 1/8-FINALS;Khaitan;Al Sahel;20;30;17;30;0,6667;0,5667;1,2334;1,2;1,1662;1,0333;1,1101;2,2333
259;z1m2BiU5;01/12/2023;13:00;CYPRUS;DIVISION 2 - ROUND 10;PAEEK;Ypsonas;15;30;22;30;0,5;0,7333;1,2333;0,8667;1,0562;1,3333;1,325;2,2
260;SKuxX1KR;01/12/2023;12:30;UGANDA;PREMIER LEAGUE - ROUND 9;Kampala City;Gadaffi;19;30;18;30;0,6333;0,6;1,2333;1,0333;0,9123;0,9333;0,9638;1,9666
261;babahmp2;01/12/2023;08:00;SYRIA;PREMIER LEAGUE - ROUND 7;Tishreen;Hottin;14;30;22;30;0,4667;0,7333;1,2;0,6333;0,7951;0,9667;0,7951;1,6
262;ERUiWvU8;01/12/2023;12:00;AFRICA;CAF CHAMPIONS LEAGUE - ROUND 2;Al-Hilal Omdurman (Sud);Esperance Tunis (Tun);18;30;18;30;0,6;0,6;1,2;0,8667;0,8844;0,8667;0,9568;1,7334
263;Ui8EBZ1p;01/12/2023;12:30;SERBIA;SUPER LIGA - ROUND 17;Novi Pazar;Javor;16;30;20;30;0,5333;0,6667;1,2;0,8;0,8718;1,0333;1,016;1,8333
264;bqEUgPTl;01/12/2023;12:45;ALGERIA;LIGUE 1 - ROUND 8;MC Alger;Magra;18;30;18;30;0,6;0,6;1,2;0,9667;1,0796;0,9667;1,1101;1,9334
265;AT68iXzI;01/12/2023;10:00;ISRAEL;LEUMIT LEAGUE - ROUND 10;MS Kafr Qasim;Kiryat Shmona;17;30;19;30;0,5667;0,6333;1,2;1,2333;1,3337;1,2;1,2754;2,4333
266;zeMr0ztp;01/12/2023;07:00;UZBEKISTAN;SUPER LEAGUE - ROUND 26;Andijan;Buxoro;19;30;17;30;0,6333;0,5667;1,2;1,0333;0,9826;0,7333;0,7272;1,7666
267;E5woZrA9;01/12/2023;12:30;UNITED ARAB EMIRATES;UAE LEAGUE - ROUND 9;Al Nasr;Al Wahda;16;30;20;30;0,5333;0,6667;1,2;1,1;1,3988;1,1;1,0116;2,2
268;jNpC5dIM;01/12/2023;07:00;UZBEKISTAN;SUPER LEAGUE - ROUND 26;Qizilqum;Turon;15;30;21;30;0,5;0,7;1,2;0,8;0,9452;1,0667;0,9286;1,8667
269;Gh8HEuaa;01/12/2023;16:00;BELGIUM;CHALLENGER PRO LEAGUE - ROUND 14;Patro Eisden;Beerschot VA;19;30;17;30;0,6333;0,5667;1,2;0,9;0,8307;1,0333;1,1968;1,9333
270;WhnTYNkF;01/12/2023;10:00;UGANDA;PREMIER LEAGUE - ROUND 9;URA SC;Express;17;30;19;30;0,5667;0,6333;1,2;0,9333;0,9286;1,0333;1,0483;1,9666
271;voULzpL2;01/12/2023;10:00;UGANDA;PREMIER LEAGUE - ROUND 9;Wakiso Giants;BUL;17;30;18;30;0,5667;0,6;1,1667;0,7667;0,8035;0,9667;0,9481;1,7334
272;Ichs1rc4;01/12/2023;17:30;PORTUGAL;LIGA PORTUGAL - ROUND 12;Chaves;Vizela;18;30;17;30;0,6;0,5667;1,1667;1,2667;1,34;0,9333;0,8919;2,2
273;Wz7fVYLe;01/12/2023;16:00;EUROPE;UEFA NATIONS LEAGUE WOMEN - LEAGUE A - ROUND 5;Switzerland W;Sweden W;16;30;19;30;0,5333;0,6333;1,1666;1,4333;1,961;0,9;0,9074;2,3333
274;nic4nSZs;01/12/2023;14:00;TURKEY;1. LIG - ROUND 14;Adanaspor AS;Corum;16;30;19;30;0,5333;0,6333;1,1666;1,0667;1,3888;1,0667;1,2092;2,1334
275;EDekrZIk;01/12/2023;10:00;LIBYA;PREMIER LEAGUE - ROUND 4;Al-Suqoor;Al Sadaqa;9;18;17;26;0,5;0,6538;1,1538;0,7222;0,8696;1,1154;1,1207;1,8376
276;fZwJ0ww9;01/12/2023;13:00;MALI;PREMIERE DIVISION - ROUND 6;CO Bamako;Korofina;19;30;15;30;0,6333;0,5;1,1333;1,0333;0,9481;0,8;0,9092;1,8333
277;4UQnafej;01/12/2023;07:00;UZBEKISTAN;SUPER LEAGUE - ROUND 26;Sogdiana;Termez Surkhon;19;30;15;30;0,6333;0,5;1,1333;1,1333;1,1757;0,7667;0,8825;1,9
278;vms86x3G;01/12/2023;09:15;UZBEKISTAN;SUPER LEAGUE - ROUND 26;Navbahor Namangan;Neftchi Fargona;16;30;18;30;0,5333;0,6;1,1333;0,8667;1,1175;1,1;1,044;1,9667
279;fgv0qeh5;01/12/2023;12:30;JORDAN;JORDAN CUP - QUARTER-FINALS;Al Hussein;Aqaba;18;30;16;30;0,6;0,5333;1,1333;1,0667;1,0625;0,6333;0,6574;1,7
280;KC37yGZg;01/12/2023;10:30;SOUTH AFRICA;MOTSEPE FOUNDATION CHAMPIONSHIP - ROUND 14;NB La Masia;Black Leopards;15;30;18;30;0,5;0,6;1,1;0,6667;0,8692;0,7;0,6403;1,3667
281;t4wtu7VK;01/12/2023;08:00;TURKEY;3. LIG GROUP 4 - ROUND 13;Siirt Ozel;Musspor;14;30;19;30;0,4667;0,6333;1,1;0,8;1,077;1,0333;0,9826;1,8333
282;IJmDneRC;01/12/2023;13:00;BAHRAIN;PREMIER LEAGUE - ROUND 8;Al-Muharraq;Manama Club;16;30;17;30;0,5333;0,5667;1,1;1,1667;1,4625;1,1667;1,3187;2,3334
283;WK4Xq4wT;01/12/2023;13:15;OMAN;SULTAN CUP - QUARTER-FINALS;Ibri;Bahla;11;22;18;30;0,5;0,6;1,1;0,9091;1,1245;0,9667;1,1101;1,8758
284;ldLv1781;01/12/2023;13:00;IRAQ;SUPER LEAGUE - ROUND 6;Al Wasat;Naft Al-Basra;15;30;18;30;0,5;0,6;1,1;0,6;0,6633;0,9667;1,016;1,5667
285;EZ2Bzzk0;01/12/2023;10:30;SOUTH AFRICA;MOTSEPE FOUNDATION CHAMPIONSHIP - ROUND 14;Magesi;Pretoria U.;17;30;16;30;0,5667;0,5333;1,1;1,0;1,0954;0,7;0,7371;1,7
286;04xrHWM2;01/12/2023;08:00;SYRIA;PREMIER LEAGUE - ROUND 7;Wathbah;Al Wahda;15;30;18;30;0,5;0,6;1,1;0,6;0,6633;0,7333;0,6799;1,3333
287;tM43xdKm;01/12/2023;10:30;SOUTH AFRICA;MOTSEPE FOUNDATION CHAMPIONSHIP - ROUND 14;JDR Stars;Hungry Lions;17;30;13;30;0,5667;0,4333;1,0;0,9667;0,9826;0,6333;0,9123;1,6
288;G2udpywa;01/12/2023;10:00;JORDAN;JORDAN CUP - QUARTER-FINALS;Shabab Al Ordon;Maan;15;30;15;30;0,5;0,5;1,0;0,8667;1,0242;0,8;1,0132;1,6667
289;K8aegTUe;01/12/2023;08:00;SYRIA;PREMIER LEAGUE - ROUND 7;Al Taliya;Al Karamah;15;30;15;30;0,5;0,5;1,0;0,7333;0,8138;0,6667;0,7454;1,4
290;O8jgIi7r;01/12/2023;17:00;SPAIN;LALIGA - ROUND 15;Las Palmas;Getafe;11;30;19;30;0,3667;0,6333;1,0;0,5333;0,8844;1,2333;1,2828;1,7666
291;Orwt5dQ2;01/12/2023;14:00;LIBYA;PREMIER LEAGUE - ROUND 4;Al Tahaddi;Al Ahly Benghazi;11;24;16;30;0,4583;0,5333;0,9916;0,75;0,9682;0,9667;1,0796;1,7167
292;OOU54R13;01/12/2023;12:15;NIGER;LIGUE 1 - ROUND 3;Douanes Niamey;Police;12;18;5;16;0,6667;0,3125;0,9792;1,0;0,9428;0,375;0,5995;1,375
293;2uiXxzo2;01/12/2023;13:00;MALI;PREMIERE DIVISION - ROUND 6;USC Kita;Bakaridjan;14;30;14;29;0,4667;0,4828;0,9495;0,6667;0,83;0,7586;0,9704;1,4253
294;OEVKGYrj;01/12/2023;10:30;ALGERIA;LIGUE 2 - ROUND 7;Medea;SC Mecheria;15;30;12;30;0,5;0,4;0,9;0,9;1,0755;0,6667;0,9428;1,5667
295;SdajkXPp;01/12/2023;13:00;GUINEA;LIGUE 1 - ROUND 1;Wakriya;Ashanti GB;11;30;12;24;0,3667;0,5;0,8667;0,5;0,7188;0,75;1,0897;1,25
